window,interval,segment_id,pair_type,entry_delta_sec,candidate_d_engine,candidate_d_side,candidate_d_entry_ts,candidate_d_exit_ts,candidate_d_exit_reason,candidate_d_pnl_inr,candidate_d_mfe_usd,candidate_d_mae_usd,router_engine,router_side,router_entry_ts,router_exit_ts,router_exit_reason,router_pnl_inr,router_mfe_usd,router_mae_usd,paired_pnl_delta_router_minus_d
historical7d,500ms,0,exact_same_action,0.0,BURST,SELL,1789728974.4169998,1789729004.9980001,momentum_zero_cross,-5.149270882860048,0.0,-0.8800000000001091,BURST,SELL,1789728974.4169998,1789729004.9980001,momentum_zero_cross,-3.626371550159026,0.0,-0.8800000000001091,1.5228993327010216
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,SELL,1789730727.8140001,1789731283.302,momentum_zero_cross,11.747850867252671,3.0799999999999272,-1.0499999999992724,PRIMARY,SELL,1789730727.8140001,1789731283.302,momentum_zero_cross,8.27341834012309,3.0799999999999272,-1.0499999999992724,-3.474432527129581
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,BUY,1789733442.8700001,1789733823.9889998,emergency_stop,-37.741318184418056,0.32999999999992724,-4.010000000000218,PRIMARY,BUY,1789733442.8700001,1789733823.9889998,emergency_stop,-26.579305234269405,0.32999999999992724,-4.010000000000218,11.16201295014865
historical7d,500ms,0,exact_same_action,0.0,PRIMARY,SELL,1789735360.477,1789736260.488,max_hold,12.415086617069326,5.480000000000473,-1.6700000000000728,PRIMARY,SELL,1789735360.477,1789736260.488,max_hold,8.743318796989364,5.480000000000473,-1.6700000000000728,-3.671767820079962
historical7d,500ms,0,exact_same_action,0.0,MICRO,SELL,1789740383.483,1789740428.924,stagnation,-32.737579247782065,0.0,-3.610000000000582,MICRO,SELL,1789740383.483,1789740428.924,stagnation,-23.05542448745555,0.0,-3.610000000000582,9.682154760326515
historical7d,500ms,0,router_unmatched,nan,,,nan,nan,,nan,nan,nan,PRIMARY,SELL,1789594453.99,1789594765.492,emergency_stop,-13.702850879152164,20.980000000000473,-4.0,nan
historical7d,500ms,0,router_unmatched,nan,,,nan,nan,,nan,nan,nan,PRIMARY,SELL,1789621329.987,1789621391.893,momentum_zero_cross,-12.146755613052884,0.0,-2.3599999999996726,nan
historical7d,500ms,0,router_unmatched,nan,,,nan,nan,,nan,nan,nan,SECONDARY,SELL,1789621640.4950001,1789622360.3769999,emergency_stop,-20.83001827095646,5.610000000000582,-4.119999999999891,nan
historical7d,500ms,0,router_unmatched,nan,,,nan,nan,,nan,nan,nan,SECONDARY,SELL,1789659334.932,1789659593.424,emergency_stop,-28.133721481337776,1.7799999999997453,-4.079999999999927,nan
historical7d,500ms,1,exact_same_action,0.0,PRIMARY,SELL,1789742547.9980001,1789742919.429,momentum_zero_cross,6.112499999996999,3.2299999999995634,-0.6500000000005457,PRIMARY,SELL,1789742547.9980001,1789742919.429,momentum_zero_cross,6.112499999996999,3.2299999999995634,-0.6500000000005457,0.0
historical7d,500ms,1,exact_same_action,0.0,SECONDARY,BUY,1789743897.458,1789743949.368,emergency_stop,-15.980502187500043,2.449999999999818,-4.210000000000036,SECONDARY,BUY,1789743897.458,1789743949.368,emergency_stop,-15.980502187500043,2.449999999999818,-4.210000000000036,0.0
