interval,batch,seed,window_id,source,source_range_id,start_ts,end_ts,D_pnl,H_pnl,J_pnl,D_trades,H_trades,J_trades,D_wins,H_wins,J_wins,J_delayed_entries,J_skipped_entries,J_phase_exits
500ms,C,20261027,27,recent24h,0,1790189989.339,1790204388.984,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,C,20261027,28,historical7d,335,1789745607.9580002,1789760007.299,15.276439992128573,16.472663380026503,31.757728389880864,13,13,12,6,6,6,2,1,1
500ms,C,20261027,29,recent24h,0,1790189927.447,1790204326.2659998,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,C,20261027,30,historical7d,335,1789746364.703,1789760764.3500001,18.90412379629754,22.066379328752987,37.51699097444168,12,12,11,7,7,7,2,1,2
500ms,C,20261027,31,recent24h,0,1790189949.3260002,1790204348.442,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,C,20261027,32,historical7d,136,1789654030.0460002,1789668429.911,101.2547842488326,115.10756101527022,113.63483740549418,19,19,18,10,11,10,0,1,3
500ms,C,20261027,33,recent24h,0,1790189936.464,1790204335.977,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,C,20261027,34,historical7d,136,1789660048.423,1789674447.412,-17.245324311820735,-9.50199717052378,-13.04893775154028,15,15,14,7,7,6,0,2,1
500ms,C,20261027,35,recent24h,0,1790189931.315,1790204330.826,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,C,20261027,36,historical7d,0,1789583978.252,1789598376.978,106.9351903564188,35.33194037995367,59.975319922286985,24,24,22,6,6,6,2,2,2
500ms,C,20261027,37,recent24h,0,1790189932.2099998,1790204331.3219998,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,C,20261027,38,historical7d,335,1789747488.4780002,1789761887.981,19.493468200372718,8.704514657019843,27.84996411029158,12,12,11,7,7,7,1,1,3
500ms,C,20261027,39,recent24h,0,1790189972.968,1790204372.414,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
1s,A,20261002,0,historical7d,0,1789572078.9580002,1789586477.576,43.01378117454976,41.237721563194555,24.562606429249513,14,14,12,6,6,5,0,2,1
1s,A,20261002,1,recent24h,0,1790189983.8270001,1790204382.9740002,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,A,20261002,2,historical7d,364,1789750878.9539998,1789765278.2489998,17.968629812802078,19.918185066570572,19.918185066570572,9,9,9,5,5,5,0,0,1
1s,A,20261002,3,recent24h,0,1790189970.9699998,1790204369.7129998,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,A,20261002,4,historical7d,364,1789744536.738,1789758935.7020001,-0.6760992184962333,-10.202208530037638,13.191698255362098,15,15,14,7,7,7,0,1,1
1s,A,20261002,5,recent24h,0,1790189978.922,1790204376.868,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,A,20261002,6,historical7d,364,1789751412.663,1789765811.825,17.968629812802078,19.918185066570572,19.918185066570572,9,9,9,5,5,5,0,0,1
1s,A,20261002,7,recent24h,0,1790189977.572,1790204376.868,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,A,20261002,8,historical7d,153,1789655453.61,1789669852.8430002,28.269440349232354,73.36749172763871,90.09913263631483,16,16,14,7,8,7,1,2,2
1s,A,20261002,9,recent24h,0,1790189994.9,1790204393.9980001,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,A,20261002,10,historical7d,0,1789583323.756,1789597720.964,47.780869947151245,45.33943804507669,-42.1530023178222,25,25,20,10,10,8,0,5,0
1s,A,20261002,11,recent24h,0,1790189939.965,1790204338.68,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,A,20261002,12,historical7d,364,1789752436.934,1789766835.9699998,10.988054746574676,12.911336176000532,12.911336176000532,7,7,7,3,3,3,0,0,1
1s,A,20261002,13,recent24h,0,1790189996.993,1790204395.742,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,A,20261002,14,historical7d,153,1789659446.978,1789673845.872,-32.44731424841375,-11.255342814326372,-21.258211977770486,13,13,12,4,5,4,2,2,1
1s,A,20261002,15,recent24h,0,1790189945.9750001,1790204344.8860002,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,A,20261002,16,historical7d,0,1789575441.9580002,1789589841.67,13.802729484554334,13.802729484554334,41.05648735252703,15,15,13,5,5,5,0,2,0
1s,A,20261002,17,recent24h,0,1790189933.812,1790204332.775,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,A,20261002,18,historical7d,364,1789745639.8419998,1789760038.876,-12.16289309125768,-21.469857166811337,1.3858799361400358,12,12,11,4,4,4,0,1,1
1s,A,20261002,19,recent24h,0,1790189999.851,1790204398.949,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,A,20261002,20,historical7d,153,1789653757.985,1789668156.983,101.43678393460743,92.53053520263313,91.06937227951141,18,18,17,9,10,9,1,1,3
1s,A,20261002,21,recent24h,0,1790189970.9699998,1790204370.9139998,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,A,20261002,22,historical7d,153,1789658658.855,1789673056.8899999,-37.52452698518499,-16.562681803306816,-17.791090359811278,16,16,15,6,7,6,2,1,1
1s,A,20261002,23,recent24h,0,1790189945.9750001,1790204344.8860002,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,A,20261002,24,historical7d,153,1789658081.988,1789672481.976,-22.341179546960404,-0.6911444027738494,-1.9598823496949151,17,17,16,7,8,7,2,1,1
1s,A,20261002,25,recent24h,0,1790189976.868,1790204375.0700002,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,A,20261002,26,historical7d,364,1789744481.9689999,1789758880.9139998,4.980016583907227,-4.6540001947674465,19.004902208990977,14,14,13,7,7,7,0,1,1
1s,A,20261002,27,recent24h,0,1790189986.687,1790204385.88,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,A,20261002,28,historical7d,0,1789571350.9699998,1789585749.7289999,14.609864783686362,12.926707139933342,-2.876167560172007,15,15,13,6,6,5,0,2,1
