context,variant,entry_ts,engine,side,gc_bar_start_utc,gc_close,gc_ret5,gc_ret15,gc_ret30,gc_volume,gc_volume_rel_1h,dir_gc_ret5,dir_gc_ret15,dir_gc_ret30,basis_gc_minus_mt5
historical7d:1s:segment1,GC-entry,1789757067.9889998,SECONDARY,BUY,1789745700.0,4389.7001953125,-0.0010018221191270271,-0.000592031302876447,0.00029625840758121784,586.0,1.0112165660051768,-0.0010018221191270271,-0.000592031302876447,0.00029625840758121784,34.88519531249949
historical7d:1s:segment1,I,1789754302.941,SECONDARY,SELL,1789743000.0,4396.60009765625,0.000819172162001891,0.0010468329484157957,0.0013428249937057835,1820.0,2.1016166281755195,-0.000819172162001891,-0.0010468329484157957,-0.0013428249937057835,41.23509765625022
historical7d:1s:segment1,I,1789757067.9889998,SECONDARY,BUY,1789745700.0,4389.7001953125,-0.0010018221191270271,-0.000592031302876447,0.00029625840758121784,586.0,1.0112165660051768,-0.0010018221191270271,-0.000592031302876447,0.00029625840758121784,34.88519531249949
historical7d:1s:segment2,GC-entry,1789968692.959,SECONDARY,SELL,1789957500.0,4407.5,0.0013395019151811738,0.00015887712682542828,-0.001858780826003355,437.0,1.1219512195121952,-0.0013395019151811738,-0.00015887712682542828,0.001858780826003355,39.72999999999956
historical7d:1s:segment2,GC-entry,1789984832.9750001,SECONDARY,SELL,1789973700.0,4390.7001953125,0.0002505831521251167,0.00025058315212463567,0.001435948076080658,313.0,1.031301482701812,-0.0002505831521251167,-0.00025058315212463567,-0.001435948076080658,41.95519531250011
historical7d:1s:segment2,I,1789968692.959,SECONDARY,SELL,1789957500.0,4407.5,0.0013395019151811738,0.00015887712682542828,-0.001858780826003355,437.0,1.1219512195121952,-0.0013395019151811738,-0.00015887712682542828,0.001858780826003355,39.72999999999956
historical7d:1s:segment2,I,1789984832.9750001,SECONDARY,SELL,1789973700.0,4390.7001953125,0.0002505831521251167,0.00025058315212463567,0.001435948076080658,313.0,1.031301482701812,-0.0002505831521251167,-0.00025058315212463567,-0.001435948076080658,41.95519531250011
historical7d:1s:segment3,GC-entry,1790005642.848,PRIMARY,SELL,1789994400.0,4401.0,0.001409808426092951,0.0018194228353118562,-0.0014531364472267735,1118.0,1.3060747663551402,-0.001409808426092951,-0.0018194228353118562,0.0014531364472267735,45.344999999999345
historical7d:1s:segment3,GC-entry,1790006919.9699998,PRIMARY,BUY,1789995600.0,4395.0,-0.0005459038328563537,-9.098615500286299e-05,-0.00011375917195585928,690.0,0.9623430962343096,-0.0005459038328563537,-9.098615500286299e-05,-0.00011375917195585928,33.340000000000146
historical7d:1s:segment3,GC-entry,1790009590.981,PRIMARY,SELL,1789998300.0,4393.5,0.0006602617039561665,0.0005463885383002865,-0.0015919948779685687,720.0,1.032258064516129,-0.0006602617039561665,-0.0005463885383002865,0.0015919948779685687,43.11000000000058
