context,variant,ghost_kind,ghost_engine,ghost_side,origin_ts,legacy_release_ts,ghost_duration_sec,legacy_exit_reason,legacy_exit_move_usd
historical7d:1s:segment3,I,admission_skip,1,SELL,1790005642.848,1790005976.655,333.8069999217987,1,-4.0
historical7d:1s:segment3,I,admission_skip,1,BUY,1790006919.9699998,1790007820.923,900.9530003070831,7,2.619999999999891
historical7d:1s:segment3,I,admission_skip,1,SELL,1790009590.981,1790010322.9980001,732.0170001983643,2,25.0600000000004
historical7d:1s:segment4,GC-entry,admission_skip,2,BUY,1790066908.9950001,1790067373.983,464.98799991607666,1,-4.489999999999782
historical7d:1s:segment4,GC-entry,admission_skip,2,BUY,1790076896.962,1790077058.901,161.9390001296997,2,8.640000000000327
historical7d:1s:segment4,GC-entry,admission_skip,2,SELL,1790078293.721,1790078642.9190001,349.1980001926422,2,8.13000000000011
historical7d:1s:segment4,GC-entry,admission_skip,2,SELL,1790081739.948,1790081787.968,48.019999980926514,1,-6.8400000000001455
historical7d:1s:segment4,I,admission_skip,2,BUY,1790066908.9950001,1790067373.983,464.98799991607666,1,-4.489999999999782
historical7d:1s:segment4,I,admission_skip,2,BUY,1790076896.962,1790077058.901,161.9390001296997,2,8.640000000000327
historical7d:1s:segment4,I,admission_skip,2,SELL,1790078293.721,1790078642.9190001,349.1980001926422,2,8.13000000000011
historical7d:1s:segment4,I,admission_skip,2,SELL,1790081739.948,1790081787.968,48.019999980926514,1,-6.8400000000001455
recent24h:1s:whole,H,post_real_exit,1,SELL,1790249466.9910002,1790249521.964,54.972999811172485,1,-4.479999999999563
recent24h:1s:whole,H,post_real_exit,1,SELL,1790269452.8969998,1790269512.829,59.932000160217285,7,2.0600000000004
recent24h:1s:whole,GC-entry,admission_skip,1,SELL,1790194365.9689999,1790194850.809,484.8400001525879,1,-4.0
recent24h:1s:whole,GC-entry,admission_skip,2,BUY,1790196065.932,1790196279.938,214.00600004196167,2,8.489999999999782
recent24h:1s:whole,GC-entry,admission_skip,2,BUY,1790251279.973,1790251411.604,131.63100004196167,1,-4.260000000000218
recent24h:1s:whole,GC-entry,admission_skip,2,BUY,1790267949.875,1790267992.881,43.00600004196167,1,-4.069999999999709
recent24h:1s:whole,GC-entry,admission_skip,1,SELL,1790272615.978,1790273516.407,900.4290001392365,7,4.980000000000473
recent24h:1s:whole,I,admission_skip,1,SELL,1790194365.9689999,1790194850.809,484.8400001525879,1,-4.0
recent24h:1s:whole,I,admission_skip,2,BUY,1790196065.932,1790196279.938,214.00600004196167,2,8.489999999999782
recent24h:1s:whole,I,admission_skip,2,BUY,1790251279.973,1790251411.604,131.63100004196167,1,-4.260000000000218
recent24h:1s:whole,I,admission_skip,2,BUY,1790267949.875,1790267992.881,43.00600004196167,1,-4.069999999999709
recent24h:1s:whole,I,admission_skip,1,SELL,1790272615.978,1790273516.407,900.4290001392365,7,4.980000000000473
